name,taxonomy,imageURL,details,temprange,details,phRange,tank size,fish size (cm/inches),fish compatibility,detailsUrl
"Masked corydoras, bandit corydoras",Corydoras metae,https://upload.wikimedia.org//wikipedia/commons/c/c4/Acuario.jpg,"The Masked Corydoras, or Bandit Cory, is easily identified by the dark ""Zorro"" mask across its eyes and a black stripe that arches over its back to the tail. These peaceful scavengers need a minimum of 20 gallons for a proper school and are very straightforward in their care, though they prefer slightly dimmer lighting and plenty of leaf litter or caves for security. They are highly compatible with most small community fish, including Guppies and neon-type tetras. Notable remarks for their upkeep include the necessity of smooth substrate to prevent barbel erosion and a consistent diet of sinking catfish wafers and small live foods to support their active foraging habits.",22 - 26 degrees Celsius,"The Masked Corydoras, or Bandit Cory, is easily identified by the dark ""Zorro"" mask across its eyes and a black stripe that arches over its back to the tail. These peaceful scavengers need a minimum of 20 gallons for a proper school and are very straightforward in their care, though they prefer slightly dimmer lighting and plenty of leaf litter or caves for security. They are highly compatible with most small community fish, including Guppies and neon-type tetras. Notable remarks for their upkeep include the necessity of smooth substrate to prevent barbel erosion and a consistent diet of sinking catfish wafers and small live foods to support their active foraging habits.","6.0-7.0
",20 – 30 gallons,"5.0-6.0 cm / 2.0-2.4""",Compatible with small Tetras; they enjoy densely planted tanks with lots of moss.,https://en.wikipedia.org//wiki/Corydoras_metae
Barred-tail corydoras,Corydoras cochui,https://upload.wikimedia.org//wikipedia/commons/6/6e/Barred_tail_corydoras.jpg,"The Barred-tail Corydoras is a rare and delicate species characterized by the distinct, ladder-like black bars on its caudal fin. For successful care, a minimum of 15 to 20 gallons is sufficient, but they require very stable water parameters and frequent small water changes to thrive. They are compatible with other peaceful micro-fish and dwarf shrimp, making them excellent candidates for ""nano"" or heavily planted tanks where they won't be bullied by larger species. Important remarks for their maintenance include providing a well-oxygenated environment and a variety of tiny sinking foods, such as crushed pellets or baby brine shrimp, to cater to their smaller mouths and high activity levels.",21 - 24 degrees Celsius,"The Barred-tail Corydoras is a rare and delicate species characterized by the distinct, ladder-like black bars on its caudal fin. For successful care, a minimum of 15 to 20 gallons is sufficient, but they require very stable water parameters and frequent small water changes to thrive. They are compatible with other peaceful micro-fish and dwarf shrimp, making them excellent candidates for ""nano"" or heavily planted tanks where they won't be bullied by larger species. Important remarks for their maintenance include providing a well-oxygenated environment and a variety of tiny sinking foods, such as crushed pellets or baby brine shrimp, to cater to their smaller mouths and high activity levels.","6.0 - 7.0
",20 – 30 gallons,"8.0-10.0 cm / 3.1-3.9""",Compatible with Endlers and small Barbs; they are schooling fish that need a group of 6+.,https://en.wikipedia.org//wiki/Corydoras_cochui
Blackstripe corydoras,Corydoras bondi,,"The Blackstripe Corydoras is a peaceful, spotted bottom-dweller recognizable by the bold black vertical wedge on its dorsal fin and a matching ""mask"" over its eyes. For optimal care, they require a minimum of 20 gallons and a social group of at least six to feel secure and active. They are highly compatible with other small, gentle species like Tetras and Rasboras, making them a staple for community tanks. Important remarks for their upkeep include providing a soft sand substrate to protect their delicate barbels and maintaining clean, well-oxygenated water through regular maintenance.",22 - 26 degrees Celsius,"The Blackstripe Corydoras is a peaceful, spotted bottom-dweller recognizable by the bold black vertical wedge on its dorsal fin and a matching ""mask"" over its eyes. For optimal care, they require a minimum of 20 gallons and a social group of at least six to feel secure and active. They are highly compatible with other small, gentle species like Tetras and Rasboras, making them a staple for community tanks. Important remarks for their upkeep include providing a soft sand substrate to protect their delicate barbels and maintaining clean, well-oxygenated water through regular maintenance.", 6.0-8.0,20 – 30 gallons,"4.0-5.5 cm / 1.6-2.2""",Compatible with peaceful shrimp species; they are non-aggressive bottom feeders.,https://en.wikipedia.org//wiki/Corydoras_bondi
Blacktop corydoras,Corydoras acutus,https://upload.wikimedia.org//wikipedia/commons/2/22/Corydoras_acutus_by_Frank_M._Greco.jpg,"The Blacktop Corydoras is a slender, slightly long-nosed species distinguished by a prominent dark blotch on the upper portion of its dorsal fin. Proper care involves a minimum of 20 to 30 gallons, as they appreciate more swimming room than some of their smaller cousins. They are compatible with a wide variety of peaceful South American community fish and should always be kept in a school. Key remarks include their preference for established tanks with plenty of hiding spots and a varied diet of high-quality sinking pellets supplemented with live or frozen foods.",22 - 28 degrees Celsius,"The Blacktop Corydoras is a slender, slightly long-nosed species distinguished by a prominent dark blotch on the upper portion of its dorsal fin. Proper care involves a minimum of 20 to 30 gallons, as they appreciate more swimming room than some of their smaller cousins. They are compatible with a wide variety of peaceful South American community fish and should always be kept in a school. Key remarks include their preference for established tanks with plenty of hiding spots and a varied diet of high-quality sinking pellets supplemented with live or frozen foods.",6.0 - 7.5,20 – 30 gallons,"4.5-5.5 cm / 1.8-2.2""",Compatible with Rummy Nose Tetras; their bright colors pop in blackwater setups.,https://en.wikipedia.org//wiki/Corydoras_acutus
Blue corydoras,Corydoras nattereri,https://upload.wikimedia.org//wikipedia/commons/2/2e/Corydoras_nattereri.JPG,"The Blue Corydoras is prized for its subtle, shimmering blue-to-grey iridescent body and a distinct dark stripe running horizontally along its flank. Their care requires at least 20 gallons with stable water parameters and a temperature range between 22–26°C. They are excellently compatible with other peaceful community dwellers like Hatchetfish or Dwarf Cichlids. Notable remarks for this species include the need for a sand substrate and a diet that includes both vegetable matter and protein-rich sinking wafers to maintain their healthy sheen.",20 - 24 degrees Celsius,"The Blue Corydoras is prized for its subtle, shimmering blue-to-grey iridescent body and a distinct dark stripe running horizontally along its flank. Their care requires at least 20 gallons with stable water parameters and a temperature range between 22?26?C. They are excellently compatible with other peaceful community dwellers like Hatchetfish or Dwarf Cichlids. Notable remarks for this species include the need for a sand substrate and a diet that includes both vegetable matter and protein-rich sinking wafers to maintain their healthy sheen.",6.0 - 8.0,20 – 30 gallons,"3.5-5.0 cm / 1.4-2.0""",Compatible with Cardinal Tetras; keep on fine sand to protect their delicate barbels.,https://en.wikipedia.org//wiki/Corydoras_nattereri
Bluespotted corydoras,Corydoras melanistius,,"The Bluespotted Corydoras is often confused with the Blackstripe but is noted for its more intricate, fine spotting that can take on a bluish-grey hue under specific lighting. For successful care, they need a minimum of 20 gallons and do best in ""blackwater"" setups with leaf litter and driftwood. They are compatible with most small, non-aggressive tropical fish and are generally very hardy once acclimated. Essential remarks include their sensitivity to salt and copper-based medications, as well as the requirement for a varied diet of sinking pellets and brine shrimp.",22 - 26 degrees Celsius,"The Bluespotted Corydoras is often confused with the Blackstripe but is noted for its more intricate, fine spotting that can take on a bluish-grey hue under specific lighting. For successful care, they need a minimum of 20 gallons and do best in ""blackwater"" setups with leaf litter and driftwood. They are compatible with most small, non-aggressive tropical fish and are generally very hardy once acclimated. Essential remarks include their sensitivity to salt and copper-based medications, as well as the requirement for a varied diet of sinking pellets and brine shrimp.",6.0 - 8.0,20 – 30 gallons,"5.0-6.0 cm / 2.0-2.4""",Compatible with Hatchetfish; they occupy the bottom while Hatchets stay at the top.,https://en.wikipedia.org//wiki/Corydoras_melanistius
"Bronze corydoras, Emerald green cory",Corydoras aeneus,https://upload.wikimedia.org//wikipedia/commons/4/47/Corydoras_aeneus_2.jpg,"The Bronze Corydoras (often sold in a vibrant ""Emerald Green"" color morph) is one of the hardiest and most popular species in the hobby. Their care is straightforward, requiring a minimum of 20 gallons, making them ideal for beginners. They are compatible with almost all peaceful community fish, from Guppies to Angelfish, as long as they are kept in a group of five or more. Important remarks include their high tolerance for various water conditions, though they still require a soft substrate and regular feedings of sinking wafers to thrive and potentially spawn in the home aquarium.",25 - 28 degrees Celsius,"The Bronze Corydoras (often sold in a vibrant ""Emerald Green"" color morph) is one of the hardiest and most popular species in the hobby. Their care is straightforward, requiring a minimum of 20 gallons, making them ideal for beginners. They are compatible with almost all peaceful community fish, from Guppies to Angelfish, as long as they are kept in a group of five or more. Important remarks include their high tolerance for various water conditions, though they still require a soft substrate and regular feedings of sinking wafers to thrive and potentially spawn in the home aquarium.",6.0 - 8.0,20 – 30 gallons,"4.5-6.5 cm / 1.8-2.6""","Compatible with Harlequin Rasboras; they are peaceful but need very clean, filtered water.",https://en.wikipedia.org//wiki/Corydoras_aeneus
Caracha,Corydoras atropersonatus,https://upload.wikimedia.org//wikipedia/commons/6/61/Corydoras_Atropersonatus.jpg,"The Caracha is a unique, slender suckermouth catfish characterized by its flattened body and elongated tail, resembling a cross between a pleco and a whiptail catfish. For proper care, they require a minimum of 30 to 40 gallons with plenty of open floor space, as they spend most of their time resting on or sifting through the substrate. They are generally compatible with peaceful community fish such as Corydoras, Tetras, and Discus, provided they are not housed with overly aggressive species that might nip at their long filaments. Key remarks for their maintenance include providing a very soft sand substrate to accommodate their specialized feeding habits and ensuring high water quality with moderate flow to mimic their native river environments.",22-25 degrees Celsius,"The Caracha is a unique, slender suckermouth catfish characterized by its flattened body and elongated tail, resembling a cross between a pleco and a whiptail catfish. For proper care, they require a minimum of 30 to 40 gallons with plenty of open floor space, as they spend most of their time resting on or sifting through the substrate. They are generally compatible with peaceful community fish such as Corydoras, Tetras, and Discus, provided they are not housed with overly aggressive species that might nip at their long filaments. Key remarks for their maintenance include providing a very soft sand substrate to accommodate their specialized feeding habits and ensuring high water quality with moderate flow to mimic their native river environments.",6.0 - 8.0,20 – 30 gallons,"5.0-6.0 cm / 2.0-2.4""",Compatible with high-end community fish; they are rare and prefer stable water parameters.,
Ehrhardt's corydoras,Corydoras ehrhardti,,"Ehrhardt's Corydoras is a hardy and attractive species noted for its mottled grey-brown coloration and sturdy build. Their care involves a minimum of 20 gallons and a consistent temperature range of 22–26°C, making them quite adaptable to standard tropical setups. They are highly compatible with other peaceful community dwellers like Platies, Danios, and Rasboras, and they should always be kept in a group of at least six to encourage natural social behavior. Notable remarks for this species include the necessity of a smooth substrate to protect their barbels and a varied diet consisting of sinking wafers and occasional protein treats like frozen brine shrimp.",22-25 degrees Celsius,"Ehrhardt's Corydoras is a hardy and attractive species noted for its mottled grey-brown coloration and sturdy build. Their care involves a minimum of 20 gallons and a consistent temperature range of 22?26?C, making them quite adaptable to standard tropical setups. They are highly compatible with other peaceful community dwellers like Platies, Danios, and Rasboras, and they should always be kept in a group of at least six to encourage natural social behavior. Notable remarks for this species include the necessity of a smooth substrate to protect their barbels and a varied diet consisting of sinking wafers and occasional protein treats like frozen brine shrimp.",6.0 - 8.0,20 – 30 gallons,"6.0-7.5 cm / 2.4-3.0""","Compatible with larger, peaceful Amazonian fish; they grow longer than average Corys.",
Evelyn's cory,Corydoras evelynae,,"Evelyn's Cory is a rarer, highly sought-after species distinguished by its unique ""arched"" pattern and delicate spotting. For successful care, a minimum of 20 gallons is required, ideally in a mature, heavily planted tank that provides plenty of shaded hiding spots to reduce stress. They are perfectly compatible with small, peaceful tank mates like Neon Tetras or Dwarf Guppies but are more sensitive to fluctuating water parameters than common Corys. Important remarks for their upkeep include maintaining pristine water conditions through regular small water changes and providing a diet of high-quality micro-pellets and live baby brine shrimp to support their health.",22-26 degrees Celsius,"Evelyn's Cory is a rarer, highly sought-after species distinguished by its unique ""arched"" pattern and delicate spotting. For successful care, a minimum of 20 gallons is required, ideally in a mature, heavily planted tank that provides plenty of shaded hiding spots to reduce stress. They are perfectly compatible with small, peaceful tank mates like Neon Tetras or Dwarf Guppies but are more sensitive to fluctuating water parameters than common Corys. Important remarks for their upkeep include maintaining pristine water conditions through regular small water changes and providing a diet of high-quality micro-pellets and live baby brine shrimp to support their health.",6.5 - 7.5,20 – 30 gallons,"4.0-5.5 cm / 1.6-2.2""",Compatible with Dwarf Cichlids; they are peaceful and stay out of the Cichlids' territory.,
Loxozonus cory,Corydoras loxozonus,,"The Loxozonus Cory (also known as the Slant-line Cory) is easily identified by the bold black stripe that runs diagonally from its dorsal fin toward its tail. Their care requirements include a minimum of 20 gallons and well-oxygenated water with a moderate current. They are very compatible with other Amazonian fish such as Apistogramma and Tetras, thriving best when kept in a social group that allows them to forage confidently. Key remarks for maintenance include the use of fine sand to protect their delicate mouthparts and the addition of dried leaf litter (like almond leaves) to provide beneficial tannins and a more natural environment.",21-24 degrees Celsius,"The Loxozonus Cory (also known as the Slant-line Cory) is easily identified by the bold black stripe that runs diagonally from its dorsal fin toward its tail. Their care requirements include a minimum of 20 gallons and well-oxygenated water with a moderate current. They are very compatible with other Amazonian fish such as Apistogramma and Tetras, thriving best when kept in a social group that allows them to forage confidently. Key remarks for maintenance include the use of fine sand to protect their delicate mouthparts and the addition of dried leaf litter (like almond leaves) to provide beneficial tannins and a more natural environment.",6.0 - 7.5,20 – 30 gallons,"4.5-6.0 cm / 1.8-2.4""",Compatible with Discus; they are one of the few Corys that thrive in higher temperatures.,
Corydoras nain,Corydoras nanus,,"Corydoras nain is a diminutive and lesser-known species that is often grouped with other ""dwarf"" varieties due to its small adult size. Proper care involves a minimum of 10 to 15 gallons, making them excellent candidates for nano aquariums or smaller planted setups. They are highly compatible with micro-predators such as Endlers or Chili Rasboras and are peaceful toward dwarf shrimp. Notable remarks for this species include their preference for very stable water conditions and a diet of finely crushed sinking foods, as their small mouths require tiny morsels to feed effectively.",21-28 degrees Celsius,"Corydoras nain is a diminutive and lesser-known species that is often grouped with other ""dwarf"" varieties due to its small adult size. Proper care involves a minimum of 10 to 15 gallons, making them excellent candidates for nano aquariums or smaller planted setups. They are highly compatible with micro-predators such as Endlers or Chili Rasboras and are peaceful toward dwarf shrimp. Notable remarks for this species include their preference for very stable water conditions and a diet of finely crushed sinking foods, as their small mouths require tiny morsels to feed effectively.",6.0 - 8.0,10 – 15 gallons,"4.0-5.0 cm / 1.6-2.0""",Compatible with Zebra Danios; they have sharp pectoral spines for defense but are peaceful.,
